"","title","type","text"
"188","The Tragedy of Romeo and Juliet","Tragedy","  Abr. Do you bite your thumb at us, sir?"
"189","The Tragedy of Romeo and Juliet","Tragedy",""
"190","The Tragedy of Romeo and Juliet","Tragedy","  Samp. I do bite my thumb, sir."
"191","The Tragedy of Romeo and Juliet","Tragedy",""
"192","The Tragedy of Romeo and Juliet","Tragedy","  Abr. Do you bite your thumb at us, sir?"
"193","The Tragedy of Romeo and Juliet","Tragedy",""
"194","The Tragedy of Romeo and Juliet","Tragedy","  Samp. [aside to Gregory] Is the law of our side if I say ay?"
"195","The Tragedy of Romeo and Juliet","Tragedy",""
"196","The Tragedy of Romeo and Juliet","Tragedy","  Greg. [aside to Sampson] No."
"197","The Tragedy of Romeo and Juliet","Tragedy",""
"198","The Tragedy of Romeo and Juliet","Tragedy","  Samp. No, sir, I do not bite my thumb at you, sir; but I bite my"
"199","The Tragedy of Romeo and Juliet","Tragedy","    thumb, sir."
"200","The Tragedy of Romeo and Juliet","Tragedy",""
"201","The Tragedy of Romeo and Juliet","Tragedy","  Greg. Do you quarrel, sir?"
"202","The Tragedy of Romeo and Juliet","Tragedy",""
"203","The Tragedy of Romeo and Juliet","Tragedy","  Abr. Quarrel, sir? No, sir."
"204","The Tragedy of Romeo and Juliet","Tragedy",""
"205","The Tragedy of Romeo and Juliet","Tragedy","  Samp. But if you do, sir, am for you. I serve as good a man as"
"206","The Tragedy of Romeo and Juliet","Tragedy","    you."
"207","The Tragedy of Romeo and Juliet","Tragedy",""
"208","The Tragedy of Romeo and Juliet","Tragedy","  Abr. No better."
"209","The Tragedy of Romeo and Juliet","Tragedy",""
"210","The Tragedy of Romeo and Juliet","Tragedy","  Samp. Well, sir."
"211","The Tragedy of Romeo and Juliet","Tragedy",""
"212","The Tragedy of Romeo and Juliet","Tragedy","                        Enter Benvolio."
"213","The Tragedy of Romeo and Juliet","Tragedy",""
"214","The Tragedy of Romeo and Juliet","Tragedy",""
"215","The Tragedy of Romeo and Juliet","Tragedy","  Greg. [aside to Sampson] Say 'better.' Here comes one of my"
"216","The Tragedy of Romeo and Juliet","Tragedy","    master's kinsmen."
"217","The Tragedy of Romeo and Juliet","Tragedy",""
